impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K24-173595,A719355,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719355,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mercer,Cat,2 YEARS,Neutered Male,Domestic Longhair,Black,1-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719355,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Description: Black<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K24-173320,A718838,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863933,LOST,Onyx,Cat,Over 1 year<p/>,Female,Bengal,Unknown,23-Oct-24,Date Lost,300 block of  Stevens Ave SW,Renton,,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863933,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Location Lost: 305 Stevens Ave SW, Renton WA  98057<p/>Lost Date: 2024-10-23<p/>",
K24-173496,A719155,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719155,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Siracha,Cat,12 WEEKS,Female,Domestic Longhair,Black,30-Oct-24,Received on,26200 block of  78TH AVE S,KENT,WA,98032,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719155,Image Copyright HLP Inc. 2024,"Received on: 2024-10-30<p/> Found Near: 26200 block of  78TH AVE S<p/> Description: Black Female Domestic Longhair Cat<p/> Age: 12 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-172880,A718036,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858545,LOST,Storm Cloud,Cat,Under 1 year<p/>,Female,Maine Coon,Unknown,26-Sep-24,Date Lost,200 block of  Pacific Ave S,Algona,,98047,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858545,Image Copyright HLP Inc. 2024,"Description: She is unfixed a long haired tabby her whiskers are white she has green eyes a white stomach all four paws have socked long socks on both back legs and short ones on her front paws half her chin is white the other gray her chest is also white she’s  fluffy<p/>Age: Under 1 year<p/>Location Lost: 260th pacific , Kent WA  98032<p/>Lost Date: 2024-09-26<p/>",
K24-172963,A718203,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859348,LOST,Hera,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Black,16-Oct-24,Date Lost,3000 block of  S 208th St,SeaTac,,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859348,Image Copyright HLP Inc. 2024,"Description: Hera is a petite /spayed DMH ALL BLACK with golden eyes.  She IS microchipped through Burien Cares - registered Date of Birth 4/20/2016 Her tail is 'tuffted' at the end and she's been overgrooming as of late, especially her belly. She has been strictly indoors her entire life. She is my ESA and I am just devastated - I don't know HOW she got out...<p/>Age: Over 1 year<p/>Location Lost: 3002 S 208TH ST, j4, Seattle WA  98198<p/>Lost Date: 2024-10-16<p/>",
K24-173685,A718193,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718193,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Grim,Cat,9 WEEKS,Neutered Male,Domestic Mediumhair,Black,5-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718193,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Description: Black<p/>  Neutered Male Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Grim and I am available for adoption!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K24-173535,A719278,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866494,In Public Home,Unknown,Dog,Over 1 year<p/>,Female,Norwich Terrier,Unknown,31-Oct-24,Date Found,SW  112th St & 28th Ave SW,King County,,98146,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866494,Image Copyright HLP Inc. 2024,"Description: Breed unknown.  Small blond colored dog with a long body and big ears that stand up straight.  Wearing a pink and white checked collar. <p/>Age: Over 1 year<p/>Found Near: 112th and 28th Ave SW, Seattle WA  98146<p/>Found Date: 2024-10-31<p/>",
K24-173269,A716370,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716370,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bunroe,Rabbit Sh,2 YEARS,Spayed Female,Rabbit Sh,White / Brown,23-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716370,Image Copyright HLP Inc. 2024,"Received on: 2024-10-23<p/> Description: White / Brown<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Bunroe and I am bonded to my sister Marilyn - we must be adopted together.<p/><p/>We are looking for someone who can provide us with plenty of love and attention.<p/><p/>When it comes to feeding us, we will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water!<p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. We are not meant to live in a cage, so be sure you can provide us at least a 4ft x 4ft enclosure as our home base. Even better if we get time to roam outside of our enclosure to stretch our legs, explore and exercise. Just be sure to bunny proof the space!<p/><p/>I am a gentle soul who likes to take things slow, and hope for the perfect ever after for my sister and I.<p/>",
K24-173597,A719360,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866978,LOST,Jet,Cat,Over 1 year<p/>,Male,American Shorthair,Black,31-Oct-24,Date Lost,21ST  AVE S AND 304THST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866978,Image Copyright HLP Inc. 2024,"Description: Black cat, 1 year old, not neutered. He is slender, shiny black and has a black color with a bell. He is normally very friendly.<p/>Age: Over 1 year<p/>Location Lost: 21st Ave S and 304thst, Federal Way WA  98003<p/>Lost Date: 2024-10-31<p/>",
K24-173295,A718794,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863667,LOST,Simon,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,22-Oct-24,Date Lost,13700 block of  37TH AVE S,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863667,Image Copyright HLP Inc. 2024,"Description: Grey/white with black stripes. Brownish orange belly with white. Brown spot on nose with orange tip. Wearing blue and yellow bell collar with red, blue, yellow fish and silver tag with fish bone. Not fixed yet, has black spot on his balls. <p/>Age: Over 1 year<p/>Location Lost: 37th ave s & s 137thst, Seattle WA  98168<p/>Lost Date: 2024-10-22<p/>",
K24-172757,A717846,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856794,In Public Home,,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,9-Oct-24,Date Found,98155 98155,,,98155,LAKE FOREST PAR,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856794,Image Copyright HLP Inc. 2024,"Description: No collar on, but he responded to me in a way as an indoor cat would being comfortable around humans. I wanted to to help the cat because the area is busy with many cars, not safe for a cat to be wandering. It’s not a neighborhood. Also, he hasn’t ate in awhile. You can tell from his bones, made me sad. So I took him home to feed him. <p/>Age: Unknown<p/>Found Near: Tukwila International Blvd and S. 148th St., Seattle WA  98168<p/>Found Date: 2024-10-09<p/>",
K24-173563,A719312,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866611,LOST,Noodle,Cat,Over 1 year<p/>,Male,Bombay,Black,26-Oct-24,Date Lost,SW  Stevens St & 60th Ave SW,Seattle,,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866611,Image Copyright HLP Inc. 2024,"Description: Noodle is a short-haired black cat with yellow/green eyes. He was wearing a dark blue and bright orange collar with a bell, and he’s microchipped. He’s a very vocal, unusually muscular, and friendly cat. <p/>Age: Over 1 year<p/>Location Lost: SW Stevens St. and 60th Ave SW, Seattle WA  98116<p/>Lost Date: 2024-10-26<p/>",
K24-172820,A717953,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857699,LOST,Hank,Dog,Over 1 year<p/>,Male,Border Collie,Unknown,12-Oct-24,Date Lost,VEAZIE  CUMBERLAND ROAD SE & VEAZIE CUMBERLAND ROAD SE,Enumclaw,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857699,Image Copyright HLP Inc. 2024,"Description: Black and White border collie/blue healer (black spots on snout) about 50 lbs. Has one light blue eye and the other is both brown and light blue. High pitch bark, very sweet and goofy. Might be scared due to recent car wreck.  Teal colored collar with tag/phone number attached.  Has microchip. <p/>Age: Over 1 year<p/>Location Lost: intersection of 416th and Veazie Cumberland road , Enumclaw WA  98022<p/>Lost Date: 2024-10-12<p/>",
K24-173161,A669812,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A669812,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Magnolia ""maggie""",Dog,2 YEARS 6 MONTHS,Spayed Female,Black Mouth Cur,Yellow / Black,21-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669812,Image Copyright HLP Inc. 2024,"Received on: 2024-10-21<p/> Description: Yellow / Black<p/>  Spayed Female Black Mouth Cur Dog<p/> Age: 2 YEARS 6 MONTHS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Magnolia and I am available for adoption.<p/><p/>It is noted that I have lived with livestock, cats and another large dog. A slow introduction to resident pets is always the best way to go. I have also lived with children ages 8 and up.<p/><p/>I am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I know how to ""sit"", ""stay"", ""come"", ""down"" and ""shake"". I am a very smart dog that likes so show my stuff.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! After I get all of my zoomies out first though.<p/><p/>I am an independent dog who likes to do my own thing! When I want to go do something, my mind is set and that is the task that I am set on.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/>",
K24-173340,A718872,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864048,LOST,Copper,Dog,Over 1 year<p/>,Male,Basset Hound,Unknown,25-Oct-24,Date Lost,OLIE  ANN PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864048,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Location Lost: Olie Ann pl , Enumclaw WA  98022<p/>Lost Date: 2024-10-25<p/>",
K24-173653,A719447,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867729,LOST,Trixie,Cat,Over 1 year<p/>,Female,Domestic Shorthair,White,2-Nov-24,Date Lost,8th  Ave & 2nd St,Kirkland,,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867729,Image Copyright HLP Inc. 2024,"Description: All white with greenish yellow eyes - 10 lbs<p/>Age: Over 1 year<p/>Location Lost: 8th Avenue and 2nd street, Kirkland WA  98033<p/>Lost Date: 2024-11-02<p/>",
K24-173518,A719247,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719247,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Topanga,Cat,9 WEEKS,Female,Domestic Shorthair,Tortie,31-Oct-24,Received on,2500 block of  S 272ND ST,KENT,WA,98032,KENT,47.358776,-122.30092,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719247,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 2500 block of  S 272ND ST<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173519,A719248,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719248,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cory,Cat,9 WEEKS,Male,Domestic Shorthair,Black,31-Oct-24,Received on,2500 block of  S 272ND ST,KENT,WA,98032,KENT,47.358776,-122.30092,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719248,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 2500 block of  S 272ND ST<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-172859,A717998,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858163,LOST,Ginger,Cat,Under 1 year<p/>,Female,Siamese,White,10-Oct-24,Date Lost,16th  Ave E & E McGraw St,Seattle,,98112,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858163,Image Copyright HLP Inc. 2024,"Description: White and grey short hair, blue eyes, spayed and microchipped. Very playful and friendly. She’s 7mo. <p/>Age: Under 1 year<p/>Location Lost: 16th and McGraw , Seattle WA  98112<p/>Lost Date: 2024-10-10<p/>",
K24-172930,A718166,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718166,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Kitty,Barn Cat,3 YEARS,Spayed Female,Domestic Shorthair,Calico,16-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718166,Image Copyright HLP Inc. 2024,"Received on: 2024-10-16<p/> Description: Calico<p/>  Spayed Female Domestic Shorthair Barn Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K24-173220,A718636,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ripley,Rabbit Sh,2 YEARS,Neutered Male,Rabbit Sh,Brown,22-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718636,Image Copyright HLP Inc. 2024,"Received on: 2024-10-22<p/> Description: Brown Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Ripley and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by animal control on 10/22. <p/><p/>I could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow. <p/><p/>",
K24-173710,A719568,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719568,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Female,Norfolk Terrier / Mix,Black,5-Nov-24,Received on,14300 block of  SE HUSKY WAY,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719568,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 14300 block of  SE HUSKY WAY<p/> Description: Black Female Norfolk Terrier / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173406,A718974,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864992,LOST,Chimuela,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,22-Oct-24,Date Lost,27800 block of  128TH PL SE,KENT,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864992,Image Copyright HLP Inc. 2024,"Description: Light brown with stripes, she has white on her chin, she has green eyes and she has an extra toe on both front paws <p/>Age: Over 1 year<p/>Location Lost: 27806 128th pl se kent, Kent WA  98030<p/>Lost Date: 2024-10-22<p/>",
K24-172637,A717639,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855325,LOST,Mitchell,Dog,Over 1 year<p/>,Male,Labrador Retriever,Brown,5-Oct-24,Date Lost,98029 98029,,,98029,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855325,Image Copyright HLP Inc. 2024,"Description: Reddish brown lab mix, about 85 pounds.  He has shaved areas on both front legs that are still growing back after a recent surgery.  One ear is lumpy from a surgery many years ago.  Hopefully he still has a black collar on with our contact info.  He is microchipped but we did not realize the account had not been activated until we did so today, so any previous calls to Home Again might not have retrieved our information.  We went on vacation and he escaped from the kennel.  He’s very friendly but was a rescue dog years ago and is probably scared trying to get back home.  <p/>Age: Over 1 year<p/>Location Lost: Neal Road in Fall City, Fall City WA  98024<p/>Lost Date: 2024-10-05<p/>",
K24-173085,A718375,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861824,LOST,Lucky Eaton,Cat,Over 1 year<p/>,Male,Bengal,Brown,20-Oct-24,Date Lost,111TH  AVE SE RENTON & PETROVISKY RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861824,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Location Lost: 111th Ave SE Renton & Petrovisky Rd, Renton WA  98055<p/>Lost Date: 2024-10-20<p/>",
